activeaddresses,difficulty,difficulty30mom,difficulty30rsi,difficulty90mom,hashrate90var,median_transaction_fee30trxUSD,median_transaction_feeUSD,mining_profitability,mining_profitability90rsi,price30smaUSD,price30wmaUSD,price3emaUSD,price3wmaUSD,price7smaUSD,price90wmaUSD,sentinusd90emaUSD,sentinusd90smaUSD,size90trx,transactionvalueUSD,priceUSD
615201,3007383866430.0,779536227926.0,99.384,1642961785305.0,1.5591734209212999e+37,-1.9380000000000002,0.204,0.9420000000000001,47.868,9771.0,9620.0,10987.0,11093.0,10669.0,11739.0,21402127622,26924437000,0.032,70054.0,8549.0
633718,3007383866430.0,779536227926.0,99.384,1645417044780.0,1.5812246141564e+37,-2.011,0.205,0.8079999999999999,47.457,9755.0,9656.0,10656.0,10705.0,10739.0,11690.0,21270549136,26852857568,0.032,84197.0,8881.0
643584,3007383866430.0,779536227926.0,99.384,1660382435871.0,1.5608010045249e+37,-2.081,0.675,0.88,47.70399999999999,9720.0,9675.0,10351.0,10273.0,10737.0,11635.0,21025728782,26692891302,0.031,54750.0,8559.0
627718,3007383866430.0,546798842812.0,99.384,1660382435871.0,1.527525830392e+37,-2.146,2.378,0.905,47.788999999999994,9673.0,9691.0,10163.0,10057.0,10632.0,11578.0,20726801069,26569604181,0.031,48090.0,8236.0
443104,3007383866430.0,404306566211.0,99.384,1660382435871.0,1.5390119257762999e+37,-2.206,1.344,0.865,47.662,9625.0,9690.0,9906.0,9824.0,10471.0,11514.0,20399195427,26375504394,0.03,40227.0,7983.0
517139,3007383866430.0,404306566211.0,99.384,1660382435871.0,1.5198448636077e+37,-2.266,0.45399999999999996,0.81,47.49,9580.0,9710.0,9923.0,9848.0,10334.0,11456.0,20135107369,26153033317,0.028999999999999998,44990.0,7940.0
594737,3007383866430.0,404306566211.0,99.384,1660382435871.0,1.520464268975e+37,-2.325,0.473,0.92,47.872,9542.0,9774.0,10249.0,10209.0,10194.0,11412.0,19911864895,25884306995,0.027999999999999997,45463.0,7548.0
680281,3007383866430.0,404306566211.0,99.384,1660382435871.0,1.5366809917612998e+37,-2.383,0.596,0.847,47.638999999999996,9517.0,9843.0,10428.0,10485.0,10159.0,11369.0,19796202137,25747667474,0.027000000000000003,77481.0,6908.0
692152,3007383866430.0,404306566211.0,99.384,1660382435871.0,1.5185494527153e+37,-2.438,0.6709999999999999,1.005,48.192,9513.0,9917.0,10547.0,10631.0,10208.0,11326.0,19670685813,25640667970,0.026000000000000002,60302.0,7025.0
595877,3007383866430.0,404306566211.0,99.384,1660382435871.0,1.5234175283828e+37,-2.492,0.601,0.907,47.875,9541.0,10013.0,10774.0,10824.0,10345.0,11291.0,19473836401,25498626819,0.025,54967.0,6826.0
