difficulty30rsi,difficulty90var,fee_to_reward90rsiUSD,hashrate30var,median_transaction_fee7rocUSD,mining_profitability,price30smaUSD,price3wmaUSD,price7wmaUSD,sentinusd90emaUSD,size90trx,top100cap,transactionvalueUSD,priceUSD
90.677,1.6411042442325e+20,52.394,1.0863301235751e+34,-4.944,1.469,596.134,676.898,709.3560000000001,1399164746,0.14400000000000002,19.393,7476.0,633.786
90.677,1.6662885315741e+20,51.762,1.0833433242511e+34,-19.942999999999998,1.4709999999999999,600.928,624.7669999999999,675.8430000000001,1409261296,0.145,19.276,7707.0,651.127
90.677,1.7141425831023e+20,50.701,1.0299099065246e+34,-6.117000000000001,1.564,636.724,644.753,645.102,1402767772,0.147,19.104,5846.0,640.923
90.677,1.7081525389859e+20,50.316,1.0180155996397e+34,-19.737000000000002,1.5319999999999998,641.4590000000001,659.799,651.7819999999999,1401691272,0.147,19.102999999999998,6712.0,644.648
90.677,1.6976812598489e+20,50.168,1.0139370909743e+34,-13.148,1.722,646.433,675.185,660.077,1403164134,0.147,19.075,7391.0,649.595
90.677,1.6827287456913e+20,49.647,9.8716601301424e+33,-11.988,1.6569999999999998,650.482,677.0419999999999,665.258,1397979126,0.146,19.079,6596.0,645.327
90.74,1.6637377828825e+20,50.256,9.1017280540696e+33,-11.001,1.608,653.731,672.7660000000001,668.061,1405399566,0.145,19.049,8120.0,646.33
92.62700000000001,1.6577762790248e+20,50.43,8.9387967252112e+33,-1.2229999999999999,1.6969999999999998,656.928,670.0010000000001,670.053,1404704571,0.145,19.076,6395.0,653.631
92.62700000000001,1.4692600689288e+20,52.355,8.5870552960788e+33,-3.3,0.8170000000000001,666.7819999999999,659.263,656.924,1419785919,0.131,19.308,7128.0,653.6659999999999
92.686,1.4531680388627e+20,54.79600000000001,7.1050176795817e+33,15.648,0.754,658.957,670.7639999999999,666.472,1427040696,0.127,19.171,7646.0,651.943
92.686,1.4420541770604e+20,53.836000000000006,6.4500482156289e+33,2.039,0.853,656.2819999999999,669.212,667.382,1431688771,0.125,19.233,7209.0,652.979
92.686,1.3676721109723e+20,53.335,7.566975280301e+33,8.818,0.765,658.2389999999999,655.962,659.9639999999999,1425876908,0.121,19.364,6616.0,636.085
92.686,1.3415949397307e+20,55.063,7.9676338361943e+33,13.380999999999998,0.795,657.8,655.7719999999999,658.155,1422315405,0.12,19.320999999999998,5283.0,620.444
92.686,1.3125251066012e+20,55.288999999999994,8.534086998825201e+33,13.7,0.799,658.177,654.062,655.9810000000001,1424139565,0.11900000000000001,19.336,6337.0,595.245
92.686,1.1659663456565e+20,55.051,9.671635866229199e+33,18.083,0.72,659.7739999999999,655.17,654.589,1427751255,0.11699999999999999,19.245,6169.0,575.443
68.221,1.0190330465108e+20,54.519,8.964253935541899e+33,14.966,0.7070000000000001,653.7819999999999,610.451,629.253,1429550802,0.115,19.125999999999998,8385.0,586.113
35.378,8.8790971048285e+19,53.325,9.0094737859626e+33,-1.033,0.72,646.67,569.68,594.816,1434595488,0.114,19.005,7424.0,592.19
35.378,8.2034872181787e+19,53.11,9.5002498946217e+33,-16.831,0.763,643.413,569.484,584.956,1431899256,0.114,18.952,5752.0,586.987
35.378,7.5145485271909e+19,51.805,1.1352245374915e+34,-36.018,0.706,641.231,574.2,578.636,1419585974,0.113,18.905,4472.0,586.74
35.378,6.8122810318617e+19,53.132,1.135201457495e+34,-16.977,0.7440000000000001,639.389,582.016,578.655,1412660295,0.11199999999999999,19.268,5744.0,576.2719999999999
35.378,5.4504036536978e+19,51.763999999999996,1.1388754118905e+34,26.445999999999998,0.752,626.739,587.731,588.365,1390301258,0.106,18.771,5602.0,577.7080000000001
35.378,5.336683361714e+19,51.663000000000004,1.1313935333070002e+34,-1.354,0.755,623.985,581.547,585.289,1381460267,0.105,18.769000000000002,4944.0,580.948
42.728,5.2136709537426e+19,52.873999999999995,1.1465703107329e+34,-6.603,0.655,620.929,574.382,580.863,1377051337,0.10400000000000001,18.754,5824.0,582.629
71.753,5.2531359427726e+19,54.717,1.09368440621e+34,-1.048,0.691,617.746,571.711,577.9019999999999,1381109659,0.10300000000000001,18.750999999999998,6221.0,584.169
