difficulty30ema,difficulty30rsi,difficulty30sma,difficulty30wma,difficulty3ema,difficulty3sma,difficulty3wma,difficulty7ema,difficulty7sma,difficulty7wma,difficulty90mom,difficulty90roc,fee_to_rewardUSD,hashrate7var,hashrate90var,median_transaction_fee30trxUSD,median_transaction_fee7trxUSD,median_transaction_feeUSD,mining_profitability,price90emaUSD,price90wmaUSD,sentinusd90smaUSD,size90trx,top100cap,transactions,transactionvalueUSD,priceUSD
7174228807.0,100.0,7161667563.0,7536628217.0,8000384682.0,8000872136.0,8000872136.0,7957089450.0,8000872136.0,8000872136.0,5379467683.0,205.213,0.226,2.9763799970293e+31,1.9129033788049e+32,-0.5329999999999999,-0.369,0.045,29.304000000000002,526.067,495.278,388013485,0.212,19.134,56237,5322.0,590.585
7227560635.0,100.0,7224372431.0,7590770447.0,8000628409.0,8000872136.0,8000872136.0,7968035121.0,8000872136.0,8000872136.0,5379467683.0,205.213,0.255,2.7796387053065e+31,1.9250456591475e+32,-0.527,-0.282,0.0443,24.482,524.231,493.292,384246583,0.21100000000000002,19.136,52438,3707.0,586.5269999999999
7300593142.0,100.0,7299033712.0,7664008646.0,8180096455.0,8120436258.0,8180218319.0,8065917466.0,8052113902.0,8090545227.0,5738160048.0,218.896,0.33899999999999997,6.8744398440996e+30,1.9228825632766e+32,-0.521,-0.23,0.0438,28.153000000000002,522.339,491.26099999999997,381653410,0.209,19.125,74254,3210.0,588.101
7400775282.0,100.0,7390156719.0,7764291394.0,8516756382.0,8404617649.0,8546708344.0,8262792177.0,8173905927.0,8290870829.0,6232011856.0,237.736,0.305,1.0251364850766e+31,1.9650272556536e+32,-0.515,-0.2,0.0437,24.27,520.471,489.26800000000003,380457087,0.20800000000000002,19.115,69195,4227.0,583.969
7494494058.0,100.0,7481279726.0,7858695238.0,8685086346.0,8688799040.0,8771107675.0,8410448210.0,8295697952.0,8460748424.0,6232011856.0,237.736,0.322,8.6735236857244e+30,1.981936102405e+32,-0.508,-0.166,0.0442,24.358,518.736,487.415,379556777,0.20600000000000002,19.122,69658,4541.0,568.256
7582166461.0,100.0,7572402734.0,7947220179.0,8769251327.0,8853416309.0,8853416309.0,8521190235.0,8417489977.0,8600178014.0,6232011856.0,237.736,0.299,9.112065257187e+30,2.0214854068152e+32,-0.5,-0.11800000000000001,0.0446,26.215999999999998,517.133,485.689,378756137,0.205,19.137999999999998,74722,4846.0,551.058
7664182581.0,100.0,7663525741.0,8029866216.0,8811333818.0,8853416309.0,8853416309.0,8604246753.0,8539282001.0,8709159597.0,6232011856.0,237.736,0.257,1.528286737129e+31,2.0816308091665e+32,-0.493,-0.07400000000000001,0.0445,26.235,515.5419999999999,483.964,375138486,0.204,19.151,65181,4357.0,518.99
7740907337.0,100.0,7747701257.0,8106633350.0,8832375064.0,8853416309.0,8853416309.0,8666539142.0,8661074026.0,8787693174.0,6232011856.0,237.736,0.215,2.4498550148129e+31,2.1619417402117e+32,-0.484,-0.031,0.0446,24.313000000000002,514.02,482.30800000000005,373288966,0.20199999999999999,19.147000000000002,53338,3989.0,506.064
7812682110.0,100.0,7810187046.0,8177969805.0,8842895686.0,8853416309.0,8853416309.0,8713258434.0,8782866051.0,8835778745.0,5730400150.0,183.489,0.203,2.2909767034993e+31,2.195818449994e+32,-0.47600000000000003,0.001,0.0445,26.471999999999998,512.51,480.676,371163370,0.201,19.152,49740,2386.0,501.845
7879826252.0,100.0,7872672835.0,8245274918.0,8848155998.0,8853416309.0,8853416309.0,8748297903.0,8853416309.0,8853416309.0,5723843135.0,182.895,0.272,1.1164079584232e+31,2.2266466435497e+32,-0.467,0.023,0.0445,25.000999999999998,511.026,479.083,370329920,0.19899999999999998,19.151,63926,3620.0,504.405
7942638513.0,100.0,7935158623.0,8308548691.0,8850786153.0,8853416309.0,8853416309.0,8774577504.0,8853416309.0,8853416309.0,5723843135.0,182.895,0.302,1.5487955283984e+31,2.3083565858802e+32,-0.456,0.10800000000000001,0.0465,25.752,510.02099999999996,477.98,374804077,0.19699999999999998,19.144000000000002,71343,9538.0,476.384
8001398371.0,100.0,7997644412.0,8367791122.0,8852101231.0,8853416309.0,8853416309.0,8794287206.0,8853416309.0,8853416309.0,5723843135.0,182.895,0.292,7.7113295423788e+30,2.3491700835319e+32,-0.44299999999999995,0.3,0.0492,28.475,509.63199999999995,477.509,375075681,0.196,19.145,68730,5053.0,476.972
8056367270.0,100.0,8060130201.0,8423002212.0,8852758770.0,8853416309.0,8853416309.0,8809069481.0,8853416309.0,8853416309.0,5723843135.0,182.895,0.297,5.9972910576747e+30,2.3834775685343e+32,-0.42700000000000005,0.56,0.0509,28.551,509.621,477.435,376205745,0.195,19.152,73171,5282.0,491.13699999999994
8107789789.0,100.0,8122615989.0,8474181961.0,8853087540.0,8853416309.0,8853416309.0,8820156188.0,8853416309.0,8853416309.0,5723843135.0,182.895,0.308,7.7936241967471e+30,2.3798579742147e+32,-0.408,0.866,0.0529,30.066,510.05,477.81300000000005,380917794,0.193,19.131,72645,8939.0,521.423
8204896896.0,100.0,8210419566.0,8570332539.0,9233018741.0,9106594187.0,9233183126.0,9018354627.0,8961921114.0,9043299717.0,6483376768.0,207.165,0.292,6.8676551582238e+30,2.4186228452265e+32,-0.386,1.091,0.0519,25.554000000000002,510.255,477.98800000000006,383319191,0.192,19.8,52718,8843.0,513.078
8350111298.0,100.0,8326315482.0,8715190640.0,9844369440.0,9640695463.0,9907746102.0,9377696005.0,9190821661.0,9416749474.0,7326146964.0,234.09400000000002,0.252,6.0818390884537e+30,2.4609013658293e+32,-0.361,1.364,0.055999999999999994,28.346,511.347,479.08,383550979,0.19,19.795,57405,8072.0,503.70599999999996
8485957030.0,100.0,8442211398.0,8852571586.0,10150044789.0,10174796740.0,10315258439.0,9647202038.0,9419722208.0,9732974093.0,7326146964.0,234.09400000000002,0.318,1.1761901219189e+31,2.5276306104885e+32,-0.331,1.6540000000000001,0.057999999999999996,27.2,512.862,480.621,382247772,0.18899999999999997,19.791,66849,6623.0,504.41900000000004
8613038521.0,100.0,8558107315.0,8982475376.0,10302882464.0,10455720138.0,10455720138.0,9849331563.0,9648622755.0,9991973576.0,7326146964.0,234.09400000000002,0.35700000000000004,1.22989944283e+31,2.5207171775498e+32,-0.298,1.8459999999999999,0.0573,26.066,514.192,481.99,383861102,0.188,19.804000000000002,68388,7821.0,502.86199999999997
8731921206.0,100.0,8674003231.0,9104902010.0,10379301301.0,10455720138.0,10455720138.0,10000928707.0,9877523302.0,10193747921.0,7326146964.0,234.09400000000002,0.33,1.5506962691551e+31,2.5724208308473e+32,-0.264,1.925,0.0572,29.06,515.462,483.329,385655519,0.187,19.809,72169,6714.0,507.70300000000003
8843134040.0,100.0,8788305339.0,9219851487.0,10417510720.0,10455720138.0,10455720138.0,10114626565.0,10106423849.0,10338297131.0,7015294195.0,203.908,0.33899999999999997,1.57405623147e+31,2.586028188155e+32,-0.228,1.8940000000000001,0.0567,26.206999999999997,516.591,484.55699999999996,386094808,0.18600000000000003,19.805,65221,5568.0,514.911
