activeaddresses,difficulty90mom,fee_to_rewardUSD,hashrate3mom,median_transaction_feeUSD,mining_profitability,price30emaUSD,price3wmaUSD,price7wmaUSD,price90emaUSD,transactionvalueUSD,priceUSD
467400,84320983524.0,4.387,3.93858542961535e+17,0.158,0.604,756.294,785.8810000000001,781.9730000000001,704.533,4713.0,787.6619999999999
569466,84320983524.0,5.223,2.1495152342148e+17,0.158,0.6990000000000001,758.431,788.367,784.3710000000001,706.398,5178.0,789.416
581498,84320983524.0,5.582000000000001,1.95130052938208e+17,0.158,0.6629999999999999,760.462,789.37,786.355,708.2339999999999,5165.0,789.909
620386,84320983524.0,5.468999999999999,-8.91711562014587e+16,0.162,0.736,763.7239999999999,800.383,793.179,710.493,7100.0,811.0210000000001
605495,84320983524.0,5.074,2.24754581355315e+17,0.17,0.721,769.444,828.183,809.118,713.6110000000001,6660.0,852.382
561045,84320983524.0,5.026,1.83666112464934e+17,0.16699999999999998,0.758,777.525,866.6510000000001,832.935,717.591,7725.0,894.707
481373,75417237030.0,4.656000000000001,-1.37643483474637e+17,0.18,0.74,785.2819999999999,889.182,853.3860000000001,721.551,5688.0,897.765
411608,68926655473.0,2.918,-8.77152223647176e+16,0.158,0.7759999999999999,790.8660000000001,884.283,863.382,724.8539999999999,4877.0,871.821
535596,68926655473.0,4.725,8.88154321211039e+16,0.179,0.682,797.703,888.66,876.6289999999999,728.6339999999999,5537.0,896.85
575134,68926655473.0,4.859,7.02230269158886e+16,0.182,0.83,805.015,899.7669999999999,889.584,732.643,6885.0,911.0269999999999
556252,70856233982.0,4.846,1.54229392220317e+17,0.19,0.8059999999999999,814.387,928.297,908.03,737.426,6419.0,950.293
574261,76461200124.0,5.412000000000001,-3.34316931178194e+16,0.193,0.792,824.145,951.414,925.334,742.442,5645.0,965.6239999999999
574927,76461200124.0,4.8660000000000005,1.95396940578271e+17,0.19,0.802,832.326,955.7339999999999,934.927,747.0239999999999,7317.0,950.955
521814,76461200124.0,4.263,-4148135511726592.0,0.174,0.726,840.097,954.311,942.967,751.546,5247.0,952.778
423375,76461200124.0,3.2319999999999998,-1.3164021411263e+16,0.17600000000000002,0.8140000000000001,848.5419999999999,961.579,953.5939999999999,756.3689999999999,5828.0,970.988
600708,76461200124.0,5.377000000000001,-1.57742012248077e+17,0.204,0.927,858.944,987.346,970.377,761.939,5552.0,1010.0
545102,76461200124.0,5.4239999999999995,1.23420330232647e+17,0.203,0.8290000000000001,869.1489999999999,1007.0,984.9639999999999,767.547,6573.0,1017.0
584414,76461200124.0,9.185,2.11483037252664e+16,0.243,0.9329999999999999,882.41,1045.0,1010.0,774.298,8114.0,1075.0
549210,76461200124.0,6.169,2.14433271938832e+17,0.23600000000000002,0.779,892.882,1050.0,1023.0,780.2410000000001,10856.0,1045.0
636009,67148212645.0,5.972,-3.21370091342804e+17,0.21,0.8490000000000001,895.1469999999999,991.35,1005.0,783.488,8305.0,927.9839999999999
575818,59165651950.0,5.809,-5.58043301066163e+16,0.196,0.669,893.227,916.143,971.07,785.288,6632.0,865.388
517117,59165651950.0,4.19,-1.62517402817083e+17,0.185,0.847,894.2310000000001,897.5189999999999,951.456,788.002,5866.0,908.784
513475,59165651950.0,5.665,1.86076114992017e+17,0.201,0.636,894.005,892.5239999999999,929.549,790.26,6912.0,890.7280000000001
589739,60966733116.0,5.66,-1.29407361178141e+17,0.203,0.851,894.3330000000001,897.918,913.985,792.6519999999999,6547.0,899.0889999999999
525287,78377184391.0,5.527,4.11946998553217e+17,0.191,0.621,891.044,869.83,888.703,793.7660000000001,11077.0,843.3580000000001
